id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
70326,207221,¡Lucha Caliente!,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79601,83913,1000 Words,NULL,2004-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133219,37046,18 Wheels of Steel: Pedal to the Metal,NULL,2004-08-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
16939,61500,1945 I & II: The Arcade Games,NULL,2004-07-16 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
52279,222122,2 Fast 2 Furious,NULL,2004-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70547,78697,"2 Games In 1 Double Pack: Finding Nemo + Monsters, Inc.",NULL,2004-11-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74652,86044,2 Games in 1 Double Pack: Power Rangers Ninja Storm + Power Rangers Time Force,NULL,2004-10-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44583,86045,2 Games in 1: Disney Princess + Disney's The Lion King,NULL,2004-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145017,73478,7 Days a Skeptic,NULL,2004-07-22 00:00:00.000,2,NULL,NULL,NULL,79.9227,7
61174,69968,Abaddon: Fallen Angel,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77423,93092,Abandon 2,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186090,14753,Ace Combat 5: The Unsung War,NULL,2004-10-21 00:00:00.000,2,NULL,76.0000,2,73.8992,16
145773,6299,Action Man: Robot Atak,NULL,2004-09-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92205,23597,Actraiser,NULL,2004-09-01 00:00:00.000,NULL,NULL,37.0000,1,NULL,NULL
152047,6300,Advance Guardian Heroes,NULL,2004-09-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
